PVS_id,n1,n2,n3,n4,n5
1108.0,6,10,8,0,0
1109.0,11,12,1,0,0
1110.0,20,4,0,0,0
1111.0,0,5,13,4,2
1112.0,0,1,2,16,5
1113.0,0,0,3,13,8
1114.0,0,0,3,16,5
1115.0,16,8,0,0,0
1116.0,20,4,0,0,0
1117.0,0,0,3,16,5
1118.0,0,0,5,13,6
1119.0,2,14,8,0,0
1120.0,0,4,12,8,0
1121.0,0,0,3,15,6
1122.0,0,1,5,13,5
1123.0,0,5,18,1,0
1124.0,1,0,12,10,1
1125.0,4,18,2,0,0
1126.0,23,1,0,0,0
1127.0,0,0,5,11,8
1128.0,0,0,0,8,16
1129.0,1,8,10,5,0
1130.0,2,9,13,0,0
1131.0,13,8,3,0,0
1132.0,22,2,0,0,0
1133.0,0,4,15,4,1
1134.0,0,0,1,9,14
1135.0,0,5,14,4,1
1136.0,12,10,2,0,0
1137.0,0,0,1,9,14
1138.0,0,0,2,13,9
1139.0,0,0,1,11,12
1140.0,0,0,3,9,12
1141.0,12,9,3,0,0
1142.0,22,2,0,0,0
1143.0,3,16,4,1,0
2000.0,0,0,0,5,19
2001.0,0,0,0,5,19
2002.0,0,0,5,11,8
2003.0,3,6,15,0,0
2004.0,14,10,0,0,0
2005.0,2,11,6,5,0
2006.0,12,11,1,0,0
2007.0,6,12,4,2,0
2008.0,9,10,1,3,1
2009.0,0,0,1,9,14
2010.0,3,9,12,0,0
2011.0,1,10,12,1,0
2012.0,0,0,4,13,7
2013.0,1,7,9,7,0
2014.0,4,10,9,1,0
2015.0,17,6,1,0,0
2016.0,0,0,2,7,15
2017.0,0,0,1,10,13
2018.0,0,3,9,9,3
2019.0,4,11,7,2,0
2020.0,21,3,0,0,0
2021.0,1,11,8,2,2
2022.0,18,4,2,0,0
2023.0,6,11,5,2,0
2024.0,9,7,7,1,0
2025.0,0,1,4,11,8
2026.0,3,15,4,2,0
2027.0,8,9,5,2,0
2028.0,1,2,4,14,3
2029.0,0,6,8,10,0
2030.0,5,14,2,2,1
2031.0,19,5,0,0,0
2032.0,0,0,2,1,21
2033.0,0,1,7,12,4
2034.0,0,10,11,3,0
2035.0,6,15,3,0,0
2036.0,21,2,1,0,0
2037.0,1,6,14,3,0
2038.0,7,15,2,0,0
2039.0,1,13,8,2,0
2040.0,12,11,1,0,0
2041.0,0,4,8,10,2
2042.0,10,12,0,2,0
2043.0,8,12,4,0,0
2044.0,0,1,7,11,5
2045.0,0,4,9,9,2
2046.0,8,7,5,4,0
2047.0,19,4,0,0,1
2048.0,0,0,0,6,18
2049.0,0,0,1,9,14
2050.0,0,2,13,8,1
2051.0,5,13,6,0,0
2052.0,21,3,0,0,0
2053.0,3,10,9,2,0
2054.0,17,5,2,0,0
2055.0,8,9,7,0,0
2056.0,12,7,2,2,1
2057.0,0,0,2,9,13
2058.0,3,14,7,0,0
2059.0,7,11,6,0,0
2060.0,0,0,2,19,3
2061.0,0,5,10,8,1
2062.0,1,15,8,0,0
2063.0,16,7,1,0,0
2064.0,0,1,2,12,9
2065.0,0,1,6,12,5
2066.0,0,5,13,6,0
2067.0,13,10,1,0,0
2068.0,23,1,0,0,0
2069.0,7,9,6,2,0
2070.0,14,9,1,0,0
2071.0,9,10,5,0,0
2072.0,10,10,3,1,0
2073.0,0,3,9,9,3
2074.0,18,6,0,0,0
2075.0,16,7,1,0,0
2076.0,1,3,15,3,2
2077.0,4,11,8,1,0
2078.0,12,12,0,0,0
2079.0,18,6,0,0,0
2080.0,0,0,2,3,19
2081.0,0,0,2,12,10
2082.0,0,1,7,10,6
2083.0,2,11,7,4,0
2084.0,11,12,1,0,0
2085.0,2,10,10,1,1
2086.0,20,4,0,0,0
2087.0,10,12,2,0,0
2088.0,13,6,5,0,0
2089.0,0,0,6,14,4
2090.0,4,10,8,2,0
2091.0,2,12,10,0,0
2092.0,0,1,3,9,11
2093.0,0,2,8,10,4
2094.0,1,7,11,5,0
2095.0,7,13,3,1,0
2096.0,0,0,0,6,18
2097.0,0,0,4,7,13
2098.0,0,0,5,11,8
2099.0,1,6,11,6,0
2100.0,17,7,0,0,0
2101.0,4,8,7,4,1
2102.0,16,6,2,0,0
2103.0,8,11,4,1,0
2104.0,9,9,3,3,0
2105.0,0,0,2,7,15
2106.0,0,7,13,4,0
2107.0,2,12,9,1,0
2108.0,0,1,5,9,9
2109.0,0,1,12,8,3
2110.0,2,14,6,2,0
2111.0,14,8,2,0,0
2112.0,0,0,1,5,18
2113.0,0,0,0,10,14
2114.0,0,0,3,14,7
2115.0,1,10,12,1,0
2116.0,13,10,1,0,0
2117.0,1,4,15,3,1
2118.0,13,10,1,0,0
2119.0,6,11,6,1,0
2120.0,11,6,4,3,0
2121.0,0,0,1,7,16
2122.0,2,9,12,1,0
2123.0,4,10,8,1,1
2124.0,0,1,1,10,12
2125.0,0,1,9,13,1
2126.0,1,5,15,3,0
2127.0,18,4,2,0,0
2128.0,0,0,1,7,16
2129.0,0,1,5,11,7
2130.0,1,2,6,11,4
2131.0,2,13,7,2,0
2132.0,12,11,1,0,0
2133.0,2,13,7,2,0
2134.0,20,4,0,0,0
2135.0,10,7,6,1,0
2136.0,13,8,2,1,0
2137.0,0,1,10,9,4
2138.0,3,12,7,2,0
2139.0,2,12,5,5,0
2140.0,0,2,7,11,4
2141.0,0,5,9,7,3
2142.0,1,10,9,4,0
2143.0,21,3,0,0,0
3000.0,0,0,1,7,16
3001.0,0,4,9,8,3
3002.0,0,0,0,9,15
3003.0,6,17,1,0,0
3004.0,0,1,0,12,11
3005.0,0,1,7,11,5
3006.0,3,10,10,1,0
3007.0,13,10,1,0,0
3008.0,0,3,9,8,4
3009.0,18,6,0,0,0
3010.0,8,15,0,1,0
3011.0,3,14,6,1,0
3012.0,8,14,2,0,0
3013.0,0,9,7,8,0
3014.0,0,5,5,12,2
3015.0,0,1,3,11,9
3016.0,0,0,1,15,8
3017.0,0,0,5,12,7
3018.0,0,0,3,14,7
3019.0,11,12,1,0,0
3020.0,0,0,1,15,8
3021.0,9,11,4,0,0
3022.0,0,1,7,11,5
3023.0,23,0,1,0,0
3024.0,0,1,5,15,3
3025.0,21,3,0,0,0
3026.0,14,9,1,0,0
3027.0,11,12,1,0,0
3028.0,5,12,5,2,0
3029.0,0,12,7,4,1
3030.0,0,1,12,9,2
3031.0,0,1,5,16,2
3032.0,0,0,5,9,10
3033.0,0,0,10,10,4
3034.0,0,1,2,13,8
3035.0,11,11,2,0,0
3036.0,0,0,2,15,7
3037.0,0,0,0,14,10
3038.0,0,0,3,14,7
3039.0,22,2,0,0,0
3040.0,0,0,5,14,5
3041.0,9,13,2,0,0
3042.0,10,11,3,0,0
3043.0,4,12,8,0,0
3044.0,2,9,11,2,0
3045.0,0,5,6,10,3
3046.0,0,1,7,12,4
3047.0,0,1,5,11,7
3048.0,0,0,0,11,13
3049.0,0,0,2,14,8
3050.0,0,1,2,7,14
3051.0,15,9,0,0,0
3052.0,0,0,1,10,13
3053.0,7,11,4,2,0
3054.0,0,1,2,13,8
3055.0,21,3,0,0,0
3056.0,0,1,5,12,6
3057.0,20,4,0,0,0
3058.0,2,11,8,3,0
3059.0,1,8,10,5,0
3060.0,0,6,5,9,4
3061.0,0,1,6,11,6
3062.0,0,0,6,12,6
3063.0,0,0,5,8,11
3064.0,0,0,1,10,13
3065.0,0,0,6,10,8
3066.0,0,0,0,11,13
3067.0,4,12,5,3,0
3068.0,0,0,3,14,7
3069.0,1,6,11,4,2
3070.0,1,4,9,8,2
3071.0,4,10,8,2,0
3072.0,0,1,2,10,11
3073.0,12,11,1,0,0
3074.0,12,9,3,0,0
3075.0,7,13,3,1,0
3076.0,2,13,5,3,1
3077.0,0,7,6,7,4
3078.0,0,1,5,13,5
3079.0,0,0,6,11,7
3080.0,0,0,2,10,12
3081.0,0,10,10,3,1
3082.0,0,0,2,11,11
3083.0,17,6,1,0,0
3084.0,19,5,0,0,0
3085.0,0,1,4,10,9
3086.0,4,14,5,1,0
3087.0,24,0,0,0,0
3088.0,1,9,9,4,1
3089.0,22,2,0,0,0
3090.0,8,13,2,1,0
3091.0,4,14,5,1,0
3092.0,5,14,4,1,0
3093.0,0,5,13,4,2
3094.0,0,1,9,10,4
3095.0,0,0,1,15,8
3096.0,0,0,1,14,9
3097.0,0,0,2,13,9
3098.0,0,0,1,9,14
3099.0,7,11,6,0,0
3100.0,0,0,4,12,8
3101.0,3,12,6,3,0
3102.0,0,0,1,10,13
3103.0,24,0,0,0,0
3104.0,0,0,5,14,5
3105.0,17,7,0,0,0
3106.0,6,14,4,0,0
3107.0,3,14,6,0,1
3108.0,1,10,9,4,0
3109.0,0,5,7,9,3
3110.0,0,1,8,11,4
3111.0,0,0,7,10,7
3112.0,0,0,1,13,10
3113.0,0,0,7,10,7
3114.0,0,0,0,11,13
3115.0,5,15,4,0,0
3116.0,0,1,0,10,13
3117.0,1,4,12,6,1
3118.0,0,0,3,11,10
3119.0,21,3,0,0,0
3120.0,1,1,10,9,3
3121.0,17,7,0,0,0
3122.0,9,13,1,1,0
3123.0,3,19,1,1,0
3124.0,2,16,5,1,0
3125.0,0,7,12,5,0
3126.0,0,3,10,10,1
3127.0,0,3,7,9,5
3128.0,0,2,5,10,7
3129.0,0,1,5,15,3
3130.0,0,0,7,10,7
3131.0,18,6,0,0,0
3132.0,0,4,3,10,7
3133.0,0,5,10,8,1
3134.0,1,10,7,6,0
3135.0,20,3,1,0,0
3136.0,0,1,9,10,4
3137.0,22,1,1,0,0
3138.0,8,14,2,0,0
3139.0,9,13,1,1,0
3140.0,3,15,5,1,0
3141.0,1,8,9,6,0
3142.0,0,6,6,11,1
3143.0,0,0,8,10,6
4000.0,0,1,3,7,13
4001.0,4,7,11,2,0
4002.0,15,7,2,0,0
4003.0,19,3,1,1,0
4004.0,19,5,0,0,0
4005.0,0,6,11,7,0
4006.0,5,7,10,2,0
4007.0,1,4,9,9,1
4008.0,21,3,0,0,0
4009.0,0,1,4,15,4
4010.0,0,1,5,8,10
4011.0,1,1,4,11,7
4012.0,7,8,9,0,0
4013.0,0,3,9,7,5
4014.0,0,1,5,15,3
4015.0,0,1,6,11,6
4016.0,0,0,1,5,18
4017.0,5,7,9,3,0
4018.0,13,6,5,0,0
4019.0,15,8,1,0,0
4020.0,17,5,1,1,0
4021.0,0,6,11,3,4
4022.0,7,10,5,2,0
4023.0,10,9,5,0,0
4024.0,11,7,5,1,0
4025.0,0,1,11,8,4
4026.0,0,0,3,9,12
4027.0,0,0,4,9,11
4028.0,0,1,4,13,6
4029.0,0,0,1,10,13
4030.0,0,0,0,11,13
4031.0,0,0,0,8,16
4032.0,0,1,2,6,15
4033.0,3,6,9,5,1
4034.0,6,8,9,1,0
4035.0,16,8,0,0,0
4036.0,8,9,7,0,0
4037.0,0,3,7,12,2
4038.0,9,7,8,0,0
4039.0,7,7,9,1,0
4040.0,20,3,1,0,0
4041.0,0,0,2,7,15
4042.0,0,0,3,5,16
4043.0,0,0,2,8,14
4044.0,0,7,7,7,3
4045.0,0,1,4,11,8
4046.0,0,0,2,8,14
4047.0,0,0,3,7,14
4048.0,0,0,2,7,15
4049.0,4,5,8,6,1
4050.0,11,8,5,0,0
4051.0,15,7,2,0,0
4052.0,15,8,1,0,0
4053.0,17,7,0,0,0
4054.0,6,6,10,2,0
4055.0,5,6,11,2,0
4056.0,21,3,0,0,0
4057.0,0,0,3,14,7
4058.0,0,0,2,4,18
4059.0,0,1,2,4,17
4060.0,2,2,8,7,5
4061.0,0,1,3,11,9
4062.0,0,0,2,10,12
4063.0,0,0,3,8,13
4064.0,0,0,3,9,12
4065.0,4,7,8,5,0
4066.0,7,10,7,0,0
4067.0,12,9,3,0,0
4068.0,0,5,9,10,0
4069.0,3,8,5,7,1
4070.0,8,8,7,1,0
4071.0,0,5,8,7,4
4072.0,14,5,4,1,0
4073.0,0,3,5,13,3
4074.0,0,1,2,7,14
4075.0,0,0,5,5,14
4076.0,1,4,9,9,1
4077.0,0,1,6,10,7
4078.0,0,2,5,11,6
4079.0,0,1,4,8,11
4080.0,0,0,4,15,5
4081.0,2,8,7,7,0
4082.0,9,9,5,1,0
4083.0,15,7,2,0,0
4084.0,4,3,11,6,0
4085.0,2,6,11,5,0
4086.0,15,7,2,0,0
4087.0,0,3,9,11,1
4088.0,9,9,5,1,0
4089.0,0,0,7,11,6
4090.0,0,0,5,12,7
4091.0,0,1,7,11,5
4092.0,0,6,12,4,2
4093.0,0,1,9,10,4
4094.0,0,1,11,9,3
4095.0,1,2,6,14,1
4096.0,0,0,2,11,11
4097.0,4,6,10,4,0
4098.0,7,9,7,1,0
4099.0,20,3,1,0,0
4100.0,0,2,7,12,3
4101.0,0,3,10,10,1
4102.0,8,10,6,0,0
4103.0,2,11,8,3,0
4104.0,15,6,3,0,0
4105.0,0,1,12,6,5
4106.0,0,0,3,14,7
4107.0,0,0,5,6,13
4108.0,0,4,11,6,3
4109.0,0,1,7,13,3
4110.0,0,0,4,11,9
4111.0,0,1,2,14,7
4112.0,0,1,4,10,9
4113.0,3,9,4,8,0
4114.0,10,10,3,1,0
4115.0,20,3,1,0,0
4116.0,13,8,3,0,0
4117.0,5,8,10,1,0
4118.0,19,4,1,0,0
4119.0,14,10,0,0,0
4120.0,16,7,1,0,0
4121.0,2,10,9,3,0
4122.0,0,2,8,9,5
4123.0,1,1,7,13,2
4124.0,0,4,8,11,1
4125.0,1,1,9,11,2
4126.0,0,1,8,11,4
4127.0,0,3,3,15,3
4128.0,0,0,2,11,11
4129.0,0,2,6,11,5
4130.0,7,9,6,2,0
4131.0,8,9,6,1,0
4132.0,18,4,2,0,0
4133.0,9,6,7,1,1
4134.0,18,4,1,1,0
4135.0,5,7,11,1,0
4136.0,7,13,4,0,0
4137.0,0,0,2,12,10
4138.0,0,0,3,10,11
4139.0,0,1,1,17,5
4140.0,1,3,14,5,1
4141.0,0,3,6,12,3
4142.0,0,2,4,13,5
4143.0,0,0,3,11,10
5000.0,0,0,0,4,20
5001.0,0,0,2,4,18
5002.0,0,0,1,10,13
5003.0,0,0,7,9,8
5004.0,0,0,0,6,18
5005.0,0,0,3,9,12
5006.0,0,0,2,15,7
5007.0,0,0,1,6,17
5008.0,1,9,11,3,0
5009.0,14,9,1,0,0
5010.0,0,1,9,8,6
5011.0,9,10,4,1,0
5012.0,10,12,1,1,0
5013.0,12,9,3,0,0
5014.0,7,13,4,0,0
5015.0,0,4,9,10,1
5016.0,0,0,1,13,10
5017.0,0,0,0,7,17
5018.0,0,0,0,12,12
5019.0,0,0,1,13,10
5020.0,0,0,2,9,13
5021.0,0,0,4,13,7
5022.0,0,0,5,10,9
5023.0,0,1,4,11,8
5024.0,0,1,7,13,3
5025.0,7,15,2,0,0
5026.0,3,11,6,4,0
5027.0,4,11,8,1,0
5028.0,13,8,3,0,0
5029.0,6,14,4,0,0
5030.0,0,5,12,5,2
5031.0,1,6,9,8,0
5032.0,0,0,0,13,11
5033.0,0,0,3,12,9
5034.0,0,1,6,11,6
5035.0,2,9,8,3,2
5036.0,0,5,3,9,7
5037.0,3,11,9,0,1
5038.0,0,2,10,8,4
5039.0,1,4,8,7,4
5040.0,1,12,10,1,0
5041.0,17,6,1,0,0
5042.0,0,13,8,3,0
5043.0,6,10,8,0,0
5044.0,5,14,5,0,0
5045.0,7,12,4,0,1
5046.0,4,14,3,3,0
5047.0,3,14,6,1,0
5048.0,0,0,5,5,14
5049.0,0,0,1,7,16
5050.0,0,0,1,17,6
5051.0,0,0,5,10,9
5052.0,0,0,1,11,12
5053.0,0,1,9,10,4
5054.0,0,0,3,17,4
5055.0,0,1,1,10,12
5056.0,2,15,6,1,0
5057.0,15,9,0,0,0
5058.0,3,8,12,0,1
5059.0,7,11,5,1,0
5060.0,10,12,1,0,1
5061.0,13,11,0,0,0
5062.0,10,9,4,1,0
5063.0,3,11,7,3,0
5064.0,0,0,0,6,18
5065.0,0,0,0,6,18
5066.0,0,1,1,7,15
5067.0,0,0,7,6,11
5068.0,0,0,1,8,15
5069.0,0,1,6,9,8
5070.0,0,0,3,8,13
5071.0,0,1,8,9,6
5072.0,0,4,10,9,1
5073.0,7,13,4,0,0
5074.0,2,5,11,5,1
5075.0,0,2,8,7,7
5076.0,0,11,7,6,0
5077.0,10,10,4,0,0
5078.0,0,14,9,1,0
5079.0,0,0,8,14,2
5080.0,0,1,0,5,18
5081.0,0,0,1,7,16
5082.0,0,1,3,12,8
5083.0,0,10,9,2,3
5084.0,0,1,7,11,5
5085.0,1,14,4,4,1
5086.0,0,1,11,7,5
5087.0,0,6,11,6,1
5088.0,2,7,11,3,1
5089.0,14,8,2,0,0
5090.0,0,9,10,5,0
5091.0,4,16,3,1,0
5092.0,8,14,1,1,0
5093.0,15,6,3,0,0
5094.0,3,15,5,1,0
5095.0,1,12,5,5,1
5096.0,0,0,0,6,18
5097.0,0,0,2,6,16
5098.0,0,0,2,7,15
5099.0,0,0,2,12,10
5100.0,0,0,0,9,15
5101.0,0,1,2,13,8
5102.0,0,0,0,8,16
5103.0,0,0,0,9,15
5104.0,3,12,7,2,0
5105.0,11,12,1,0,0
5106.0,0,2,12,10,0
5107.0,1,12,8,3,0
5108.0,0,14,4,5,1
5109.0,11,12,1,0,0
5110.0,6,12,6,0,0
5111.0,0,15,5,3,1
5112.0,0,0,0,14,10
5113.0,0,1,2,11,10
5114.0,0,0,7,8,9
5115.0,0,4,9,7,4
5116.0,0,0,3,12,9
5117.0,0,2,9,11,2
5118.0,0,0,5,15,4
5119.0,0,0,10,9,5
5120.0,0,11,10,3,0
5121.0,11,9,4,0,0
5122.0,2,13,7,2,0
5123.0,0,5,12,6,1
5124.0,6,11,3,4,0
5125.0,13,9,2,0,0
5126.0,3,12,6,3,0
5127.0,2,13,9,0,0
5128.0,0,0,0,7,17
5129.0,0,0,1,6,17
5130.0,0,0,0,8,16
5131.0,0,2,6,11,5
5132.0,0,0,1,8,15
5133.0,0,1,8,10,5
5134.0,0,1,2,11,10
5135.0,0,0,1,11,12
5136.0,2,15,5,1,1
5137.0,15,8,0,1,0
5138.0,2,13,9,0,0
5139.0,6,12,6,0,0
5140.0,6,14,3,1,0
5141.0,18,3,3,0,0
5142.0,14,8,2,0,0
5143.0,0,4,12,7,1
6000.0,0,0,3,9,12
6001.0,12,11,1,0,0
6002.0,21,3,0,0,0
6003.0,0,5,15,4,0
6004.0,0,15,9,0,0
6005.0,0,1,9,12,2
6006.0,0,2,14,8,0
6007.0,0,1,4,13,6
6008.0,0,3,11,10,0
6009.0,0,0,5,15,4
6010.0,0,1,5,16,2
6011.0,0,0,3,15,6
6012.0,0,1,3,15,5
6013.0,0,0,5,13,6
6014.0,0,0,1,14,9
6015.0,0,0,5,11,8
6016.0,0,0,0,4,20
6017.0,1,9,9,4,1
6018.0,6,12,5,1,0
6019.0,0,0,13,8,3
6020.0,0,7,11,5,1
6021.0,0,0,5,14,5
6022.0,0,2,7,15,0
6023.0,0,0,2,10,12
6024.0,0,1,3,16,4
6025.0,0,0,0,7,17
6026.0,0,0,2,15,7
6027.0,0,0,2,10,12
6028.0,0,0,2,14,8
6029.0,0,0,1,10,13
6030.0,0,0,2,11,11
6031.0,0,0,0,10,14
6032.0,0,0,0,5,19
6033.0,9,12,1,2,0
6034.0,21,3,0,0,0
6035.0,1,13,8,2,0
6036.0,12,12,0,0,0
6037.0,1,4,13,6,0
6038.0,2,17,5,0,0
6039.0,0,2,11,10,1
6040.0,2,12,10,0,0
6041.0,0,1,9,12,2
6042.0,0,10,13,1,0
6043.0,0,0,12,12,0
6044.0,0,2,14,8,0
6045.0,0,1,2,14,7
6046.0,0,0,5,13,6
6047.0,0,1,5,11,7
6048.0,0,1,8,9,6
6049.0,0,9,13,1,1
6050.0,2,12,10,0,0
6051.0,0,1,8,13,2
6052.0,0,1,14,7,2
6053.0,0,0,6,14,4
6054.0,0,3,9,9,3
6055.0,0,1,5,14,4
6056.0,0,1,11,11,1
6057.0,0,0,4,17,3
6058.0,0,1,9,11,3
6059.0,0,0,8,11,5
6060.0,0,1,6,16,1
6061.0,0,1,2,13,8
6062.0,0,1,5,16,2
6063.0,0,0,2,13,9
6064.0,0,0,4,1,19
6065.0,20,4,0,0,0
6066.0,22,2,0,0,0
6067.0,13,9,1,1,0
6068.0,15,8,0,1,0
6069.0,3,13,7,1,0
6070.0,11,11,2,0,0
6071.0,0,7,12,5,0
6072.0,7,16,1,0,0
6073.0,1,3,9,11,0
6074.0,3,16,5,0,0
6075.0,0,1,12,9,2
6076.0,0,7,16,1,0
6077.0,0,1,10,8,5
6078.0,0,3,8,12,1
6079.0,0,0,5,14,5
6080.0,0,0,0,6,18
6081.0,2,12,9,1,0
6082.0,14,10,0,0,0
6083.0,0,0,4,13,7
6084.0,0,3,19,2,0
6085.0,0,0,1,16,7
6086.0,0,6,7,10,1
6087.0,0,0,1,15,8
6088.0,0,1,6,14,3
6089.0,0,0,2,8,14
6090.0,0,0,2,19,3
6091.0,0,0,1,7,16
6092.0,0,0,3,11,10
6093.0,0,0,0,8,16
6094.0,0,0,1,13,10
6095.0,0,0,1,10,13
6096.0,0,0,1,4,19
6097.0,7,15,2,0,0
6098.0,13,10,1,0,0
6099.0,0,3,14,7,0
6100.0,0,11,12,1,0
6101.0,0,0,11,10,3
6102.0,0,9,9,5,1
6103.0,0,2,4,13,5
6104.0,0,3,13,8,0
6105.0,0,0,7,10,7
6106.0,0,2,9,11,2
6107.0,0,0,5,14,5
6108.0,0,1,1,18,4
6109.0,0,0,4,13,7
6110.0,0,0,1,16,7
6111.0,0,0,4,12,8
6112.0,0,0,0,8,16
6113.0,1,15,8,0,0
6114.0,15,7,2,0,0
6115.0,0,2,9,12,1
6116.0,0,9,14,1,0
6117.0,0,1,4,18,1
6118.0,0,8,12,4,0
6119.0,0,0,5,15,4
6120.0,0,2,12,9,1
6121.0,0,0,1,16,7
6122.0,0,1,11,12,0
6123.0,0,0,4,15,5
6124.0,0,0,1,16,7
6125.0,0,0,2,14,8
6126.0,0,0,1,11,12
6127.0,0,0,3,12,9
6128.0,0,0,1,6,17
6129.0,0,3,14,7,0
6130.0,0,6,15,3,0
6131.0,0,0,9,12,3
6132.0,0,2,9,12,1
6133.0,0,2,4,14,4
6134.0,0,0,8,12,4
6135.0,0,0,4,14,6
6136.0,0,1,1,16,6
6137.0,0,0,3,15,6
6138.0,0,1,3,16,4
6139.0,0,0,1,14,9
6140.0,0,0,1,17,6
6141.0,0,0,2,10,12
6142.0,0,0,2,11,11
6143.0,0,0,2,10,12
