image_name,c1,c2,c3,c4,c5,c_total
10186643874.jpg,1,24,90,11,0,126
10186680555.jpg,0,14,70,19,1,104
10186832194.jpg,1,14,54,28,4,101
10187102065.jpg,2,63,35,7,0,107
10187522803.jpg,0,0,55,52,1,108
10191607755.jpg,0,2,16,64,20,102
10196228605.jpg,0,5,62,41,0,108
10203647273.jpg,0,2,31,69,5,107
10205220286.jpg,9,77,20,0,0,106
10206674394.jpg,0,0,18,76,6,100
10207172624.jpg,0,6,49,45,1,101
10209014225.jpg,0,4,58,42,0,104
10209917915.jpg,1,35,55,10,1,102
10211880874.jpg,12,51,43,1,0,107
10213881683.jpg,5,77,52,2,0,136
10218118033.jpg,0,1,25,76,5,107
10221144393.jpg,37,71,2,0,0,110
10224586444.jpg,2,52,47,1,0,102
10226277514.jpg,2,44,55,5,0,106
10226524916.jpg,38,52,15,2,0,107
10227210045.jpg,0,5,48,48,2,103
10241630856.jpg,0,5,61,39,1,106
10241895785.jpg,0,4,39,57,3,103
10244314384.jpg,2,34,52,15,0,103
10244715656.jpg,1,25,61,22,0,109
10246311914.jpg,0,0,25,73,9,107
10246318724.jpg,0,0,24,77,5,106
10258169584.jpg,0,10,70,25,0,105
10260190424.jpg,0,0,56,49,3,108
1026198859.jpg,0,2,40,61,1,104
10262588616.jpg,1,2,68,29,0,100
10264804094.jpg,0,1,28,76,1,106
10264984793.jpg,0,4,45,50,2,101
10265315316.jpg,0,2,67,32,1,102
10265809113.jpg,0,0,36,65,2,103
10273804555.jpg,0,4,47,49,4,104
10278246465.jpg,0,2,56,71,0,129
10279904885.jpg,3,43,46,10,1,103
10280683815.jpg,0,1,30,67,5,103
10280835505.jpg,6,66,27,1,0,100
10283619534.jpg,0,2,30,65,3,100
10287677265.jpg,1,5,42,53,1,102
10289468185.jpg,0,0,35,62,4,101
10290759976.jpg,0,0,23,77,3,103
1029470257.jpg,0,45,62,4,0,111
10295875445.jpg,0,6,54,48,1,109
10296038236.jpg,1,52,52,3,1,109
10299438733.jpg,0,13,66,23,0,102
102995966.jpg,46,51,7,0,0,104
10316734944.jpg,0,2,50,49,0,101
10319186405.jpg,0,18,57,26,1,102
10319713194.jpg,82,30,0,0,0,112
10325321.jpg,0,0,22,73,9,104
10327985614.jpg,0,1,34,66,8,109
10329149264.jpg,0,0,31,70,3,104
10329235193.jpg,0,2,17,66,27,112
10330831494.jpg,1,29,67,7,0,104
10335072144.jpg,0,16,49,42,0,107
10336689775.jpg,0,4,77,48,0,129
103400056.jpg,0,3,18,63,20,104
10342569703.jpg,1,57,44,1,0,103
10344523015.jpg,1,21,71,15,0,108
10344921126.jpg,93,16,0,0,0,109
10346758803.jpg,0,11,45,40,5,101
10346796664.jpg,0,1,41,60,2,104
10349956885.jpg,0,3,32,65,5,105
10350497833.jpg,2,9,66,27,1,105
10351189716.jpg,0,2,74,30,0,106
10353620913.jpg,1,17,59,25,0,102
10358252894.jpg,0,3,88,46,0,137
10362672006.jpg,0,1,19,81,3,104
10366373284.jpg,1,0,14,94,3,112
1036840624.jpg,8,68,20,0,0,96
10371125786.jpg,2,61,38,4,0,105
10371211803.jpg,0,0,63,49,1,113
10372323314.jpg,0,0,64,44,1,109
10373546175.jpg,0,7,67,25,0,99
10375167904.jpg,0,7,70,25,0,102
10382843045.jpg,1,29,64,10,0,104
10387390396.jpg,0,0,39,63,2,104
10387844376.jpg,0,10,43,53,3,109
10388184626.jpg,0,1,23,70,6,100
10395523125.jpg,0,10,58,32,1,101
10397166423.jpg,0,0,42,64,3,109
10397631976.jpg,0,0,35,69,3,107
10399580503.jpg,0,0,27,73,4,104
10403509543.jpg,0,2,50,52,0,104
10407720764.jpg,1,59,40,3,0,103
10408374535.jpg,0,31,67,9,0,107
10408474376.jpg,0,0,15,83,11,109
10409059825.jpg,0,0,38,66,2,106
10410038143.jpg,0,1,20,70,12,103
10412894895.jpg,0,6,77,17,0,100
10414716033.jpg,0,0,40,60,3,103
10415628976.jpg,45,59,17,0,0,121
10415631353.jpg,1,49,52,7,0,109
104219737.jpg,1,29,50,22,0,102
10422425365.jpg,0,2,21,76,2,101
10422776735.jpg,0,2,58,66,0,126
10423472445.jpg,0,1,41,68,0,110
10429780626.jpg,0,0,42,54,0,96
10430002553.jpg,0,1,21,71,7,100
10430335945.jpg,3,47,54,2,0,106
10440370734.jpg,4,60,39,6,0,109
10442628686.jpg,6,48,83,3,0,140
10446770756.jpg,0,0,43,54,5,102
10446810546.jpg,0,0,36,69,4,109
10451177016.jpg,0,2,41,54,4,101
10453950204.jpg,0,6,79,22,0,107
10458591.jpg,0,28,57,14,2,101
10458703674.jpg,5,59,35,3,0,102
10459022813.jpg,0,0,15,81,11,107
10463545414.jpg,0,13,82,14,0,109
10463583515.jpg,0,0,21,76,3,100
10464940425.jpg,0,0,48,61,2,111
10465121613.jpg,0,5,67,34,1,107
10465293055.jpg,0,1,25,69,5,100
10466350116.jpg,0,0,28,76,8,112
10466453556.jpg,11,78,17,0,0,106
10468110795.jpg,0,7,60,38,1,106
10468540574.jpg,0,4,47,47,3,101
10469774844.jpg,1,7,76,26,0,110
10471406506.jpg,13,79,21,0,0,113
10474002734.jpg,0,0,20,84,2,106
10475435053.jpg,0,15,64,25,3,107
10475658035.jpg,0,0,12,70,27,109
10481974434.jpg,2,51,51,7,0,111
10486107003.jpg,0,4,55,44,0,103
10490369963.jpg,3,53,43,5,0,104
10491358066.jpg,0,5,50,44,2,101
10491423125.jpg,0,3,39,61,3,106
10492897986.jpg,2,30,69,5,0,106
10505275743.jpg,0,0,23,70,8,101
10506082433.jpg,1,49,55,3,0,108
10512432565.jpg,0,4,46,58,1,109
10513907744.jpg,0,12,59,26,1,98
10516786036.jpg,0,1,28,69,11,109
10517436165.jpg,4,35,66,0,0,105
10520192995.jpg,0,16,69,21,0,106
10525460645.jpg,0,3,35,60,6,104
10526881085.jpg,0,42,63,3,1,109
10530470795.jpg,1,58,42,5,0,106
10532663625.jpg,0,1,44,58,1,104
10534454676.jpg,0,0,41,62,2,105
10535849673.jpg,0,25,65,8,0,98
10536668436.jpg,5,72,52,1,0,130
10538085833.jpg,1,36,96,19,0,152
10539008983.jpg,0,5,43,60,1,109
10539142034.jpg,0,1,40,107,3,151
10539341593.jpg,0,1,34,65,1,101
10544775715.jpg,0,34,67,7,0,108
10544833625.jpg,0,17,71,13,0,101
10544945153.jpg,0,27,68,9,0,104
10554234623.jpg,0,19,86,8,0,113
10556629035.jpg,0,2,34,64,2,102
10558118243.jpg,0,0,34,70,8,112
105620456.jpg,1,18,61,27,1,108
10567114974.jpg,0,8,53,47,1,109
10567188645.jpg,0,1,64,40,1,106
10568567754.jpg,0,2,23,79,7,111
10569725133.jpg,0,0,28,75,4,107
1057328504.jpg,11,57,36,1,0,105
10574233584.jpg,2,22,60,17,0,101
10575593285.jpg,0,6,72,25,0,103
10576676414.jpg,0,4,72,51,0,127
10579282866.jpg,0,6,54,52,0,112
1057997640.jpg,1,17,70,17,0,105
10581525775.jpg,0,5,93,42,0,140
10582113466.jpg,0,12,68,24,0,104
10583786994.jpg,0,14,50,34,4,102
10586872235.jpg,2,43,60,1,0,106
10589450596.jpg,1,6,77,41,1,126
10597114264.jpg,0,0,38,65,2,105
10602786066.jpg,19,67,20,2,0,108
10603218265.jpg,0,1,32,71,1,105
10604417276.jpg,0,0,27,67,7,101
10605846204.jpg,0,1,48,60,0,109
10609356094.jpg,0,5,51,43,6,105
10614052044.jpg,0,1,23,81,4,109
10615424764.jpg,0,0,41,57,6,104
10617981003.jpg,3,50,51,1,0,105
10619909515.jpg,0,3,73,31,0,107
10620203775.jpg,37,49,15,1,0,102
10620356404.jpg,0,10,68,28,0,106
1062133952.jpg,0,6,76,27,2,111
10625988224.jpg,0,4,59,38,1,102
10628337356.jpg,0,3,29,71,1,104
10628497685.jpg,0,18,65,26,0,109
10628645805.jpg,0,0,19,71,12,102
10631219374.jpg,0,4,42,61,1,108
10631630073.jpg,20,81,4,0,0,105
1063351510.jpg,0,37,63,9,0,109
10633933603.jpg,0,10,75,27,0,112
10635160054.jpg,0,1,61,62,0,124
1063722220.jpg,0,11,85,15,0,111
10642085843.jpg,0,0,25,75,7,107
10644234544.jpg,0,15,74,19,0,108
106456452.jpg,19,64,16,1,0,100
10660362264.jpg,0,0,32,66,7,105
10660571735.jpg,1,28,72,11,0,112
10660620125.jpg,0,1,37,67,6,111
106652866.jpg,0,29,50,19,0,98
10665464526.jpg,0,0,20,76,9,105
10676427864.jpg,0,0,23,74,2,99
1067765170.jpg,0,23,75,9,0,107
10678199353.jpg,0,1,50,57,0,108
10678350303.jpg,0,4,53,52,5,114
10679134563.jpg,7,64,25,2,0,98
10680153225.jpg,2,39,58,7,0,106
10680502673.jpg,0,1,16,75,15,107
10680715605.jpg,6,56,45,3,0,110
10680932454.jpg,0,27,63,18,0,108
10683218616.jpg,0,2,41,68,1,112
10686332213.jpg,0,12,70,24,0,106
10689376076.jpg,0,6,88,19,1,114
10689538413.jpg,0,2,28,71,7,108
10689722684.jpg,0,0,19,82,7,108
10690294454.jpg,0,2,37,70,0,109
10692654005.jpg,0,3,52,51,1,107
10692667386.jpg,0,0,46,52,5,103
10692857705.jpg,0,3,44,47,8,102
10693826785.jpg,0,19,68,17,0,104
10694350076.jpg,0,3,36,67,1,107
10698962263.jpg,3,41,47,8,0,99
10705911926.jpg,0,2,39,55,4,100
10706770686.jpg,0,0,25,78,3,106
10713772814.jpg,0,7,71,30,0,108
10714662986.jpg,0,0,10,90,13,113
10715577856.jpg,3,40,54,8,0,105
10721124556.jpg,0,17,61,31,1,110
10723077086.jpg,0,7,34,64,1,106
10724461514.jpg,0,2,36,67,3,108
10724889206.jpg,0,3,57,38,0,98
10728525673.jpg,0,1,45,58,0,104
10730634575.jpg,0,16,64,24,0,104
10732971054.jpg,0,19,75,8,0,102
10733259996.jpg,0,4,69,27,0,100
10737029565.jpg,0,6,60,38,1,105
10740242265.jpg,0,3,37,60,0,100
10740725955.jpg,0,1,10,87,4,102
10740727595.jpg,0,1,30,74,4,109
10745415703.jpg,0,3,51,45,4,103
10745932825.jpg,0,4,51,50,1,106
10747724694.jpg,0,10,73,19,0,102
107505789.jpg,0,13,64,23,0,100
10751799554.jpg,0,2,30,66,4,102
1075190309.jpg,5,53,47,4,1,110
10762659033.jpg,1,47,45,7,0,100
10765812585.jpg,2,38,59,7,0,106
10767441335.jpg,0,1,28,68,7,104
10770026303.jpg,0,0,39,66,1,106
10770700455.jpg,0,6,70,33,1,110
10773126784.jpg,0,0,19,77,6,102
10775358296.jpg,10,53,42,7,0,112
10776111906.jpg,0,0,35,61,5,101
107799222.jpg,0,1,28,70,3,102
10783395635.jpg,0,0,45,62,2,109
10784159775.jpg,0,1,20,76,5,102
10786271105.jpg,0,1,54,55,0,110
10787038944.jpg,0,9,60,35,0,104
10787258285.jpg,0,0,42,61,7,110
10790803694.jpg,0,3,46,90,1,140
10791502435.jpg,0,0,35,73,2,110
10792125886.jpg,0,2,60,66,1,129
10798439785.jpg,0,12,64,26,0,102
10799367156.jpg,0,0,31,69,5,105
10799853136.jpg,0,2,51,53,1,107
10805317444.jpg,0,15,73,13,0,101
10806677866.jpg,0,7,63,33,0,103
10813730303.jpg,4,81,69,1,0,155
10814874265.jpg,0,2,25,78,1,106
10819001424.jpg,29,65,10,0,0,104
10819132874.jpg,0,1,34,66,2,103
10819329365.jpg,0,2,81,18,0,101
10827568885.jpg,0,1,25,74,9,109
10828147985.jpg,1,15,76,16,0,108
10828395135.jpg,0,0,38,63,6,107
10829329963.jpg,0,1,27,79,0,107
10836905604.jpg,0,0,31,69,3,103
10843403305.jpg,0,1,51,49,3,104
10847909336.jpg,13,83,8,0,0,104
10849117054.jpg,0,11,76,21,0,108
10849700404.jpg,0,3,38,63,3,107
1084984228.jpg,11,57,35,5,0,108
1085590803.jpg,25,66,13,1,0,105
10856434794.jpg,1,45,63,4,0,113
10856757.jpg,17,59,28,5,0,109
10858952303.jpg,1,43,56,6,0,106
10861031374.jpg,0,2,58,44,0,104
10862487886.jpg,0,5,62,39,1,107
10864812016.jpg,0,12,77,17,0,106
10865798996.jpg,0,0,23,69,8,100
10866463396.jpg,1,2,52,47,2,104
10866561184.jpg,0,0,19,81,5,105
10868390853.jpg,0,2,43,82,3,130
10872249945.jpg,0,1,20,76,8,105
10875461386.jpg,0,16,72,19,0,107
10880314705.jpg,0,1,26,75,9,111
10882856833.jpg,0,5,69,33,1,108
10883456586.jpg,11,74,17,2,0,104
1089100444.jpg,0,4,62,40,0,106
10893404795.jpg,0,58,42,0,0,100
10895044423.jpg,13,56,40,0,0,109
10897840884.jpg,0,3,28,66,9,106
10898287705.jpg,1,42,54,10,0,107
10898689245.jpg,0,5,62,44,1,112
10899733355.jpg,0,1,47,80,1,129
10900020096.jpg,0,3,46,57,0,106
10905088155.jpg,0,7,59,41,1,108
10905114716.jpg,0,23,74,8,0,105
10906887886.jpg,1,45,52,4,0,102
1090979049.jpg,0,5,88,15,0,108
10910262455.jpg,2,43,54,6,0,105
10911046243.jpg,0,0,28,71,4,103
10911095273.jpg,0,1,39,62,5,107
10912602716.jpg,0,1,44,86,2,133
10915557435.jpg,0,53,51,1,0,105
10917741563.jpg,0,1,34,69,2,106
10921653346.jpg,0,1,19,63,26,109
10921880365.jpg,0,2,46,56,1,105
10923819485.jpg,1,53,45,8,0,107
10925112255.jpg,32,45,20,1,0,98
10927420963.jpg,0,2,56,52,1,111
10931213005.jpg,0,39,59,9,0,107
10932590295.jpg,6,53,45,4,0,108
10933722123.jpg,1,15,78,15,0,109
10936496124.jpg,0,7,61,33,1,102
10937404313.jpg,3,12,58,36,1,110
10947519133.jpg,0,1,34,70,0,105
10948257133.jpg,3,43,52,5,0,103
10953973716.jpg,0,0,37,63,3,103
10961758274.jpg,0,1,21,84,1,107
10967023396.jpg,0,14,67,24,0,105
10968711744.jpg,0,0,18,78,8,104
10980930876.jpg,0,1,42,58,6,107
10981006796.jpg,36,56,7,0,0,99
109825878.jpg,5,56,43,2,0,106
10983119996.jpg,0,10,74,17,0,101
10990397626.jpg,9,54,43,2,0,108
10990887046.jpg,1,18,98,28,1,146
11004139923.jpg,0,2,54,45,0,101
11005410885.jpg,0,11,85,17,0,113
11006895124.jpg,0,13,41,45,4,103
1100873520.jpg,1,22,76,8,0,107
11009340314.jpg,0,6,56,39,1,102
11010062705.jpg,0,1,51,48,1,101
11013892854.jpg,6,93,12,0,0,111
11016309165.jpg,0,6,62,37,0,105
11016485883.jpg,0,0,52,54,1,107
11018079835.jpg,0,0,22,86,2,110
1101948952.jpg,0,0,26,73,1,100
11021514993.jpg,0,1,52,45,2,100
11021929275.jpg,0,2,32,66,1,101
11023346856.jpg,0,2,73,28,1,104
11031973684.jpg,1,0,35,72,3,111
11033459414.jpg,0,7,50,43,3,103
110356262.jpg,4,63,36,3,0,106
11035760784.jpg,0,4,55,46,1,106
1103755154.jpg,0,3,31,76,1,111
11051034136.jpg,0,1,60,47,0,108
11051374673.jpg,0,4,65,31,0,100
11051749575.jpg,0,5,64,31,0,100
11054039594.jpg,3,43,55,6,0,107
11054638863.jpg,0,10,59,33,0,102
11054899145.jpg,0,2,31,76,1,110
11054955216.jpg,5,53,48,0,0,106
11058112996.jpg,16,52,30,6,1,105
11060185873.jpg,1,2,60,48,0,111
11061633946.jpg,7,51,43,3,0,104
11062902804.jpg,0,3,39,61,4,107
11063650646.jpg,1,7,67,32,0,107
11068654734.jpg,0,6,50,46,1,103
11071132393.jpg,1,3,35,62,3,104
11078122366.jpg,0,2,38,64,1,105
11079282234.jpg,0,0,40,95,1,136
11081975613.jpg,0,3,44,52,3,102
11087687983.jpg,0,0,17,91,3,111
11089447095.jpg,0,3,56,48,0,107
11095381506.jpg,0,2,19,69,10,100
11097661494.jpg,0,3,29,70,2,104
11098121724.jpg,0,0,41,65,4,110
11109548195.jpg,0,8,62,37,0,107
11111585533.jpg,0,0,5,92,12,109
11118140253.jpg,0,0,45,55,4,104
11124139926.jpg,1,29,66,9,0,105
11126091314.jpg,0,40,60,3,0,103
11126232436.jpg,0,19,72,12,0,103
11126652126.jpg,1,25,52,20,5,103
11139368236.jpg,0,2,42,66,0,110
11139580153.jpg,0,38,58,5,0,101
11141708043.jpg,0,6,43,50,1,100
11143825565.jpg,1,7,60,38,3,109
11148529964.jpg,1,7,92,21,0,121
11149566996.jpg,0,28,65,9,0,102
11150131936.jpg,0,5,69,31,2,107
11153943035.jpg,0,12,59,25,2,98
11155257336.jpg,0,8,84,16,0,108
11156365526.jpg,0,32,64,12,0,108
11158314215.jpg,1,39,60,7,0,107
11159983896.jpg,0,1,45,55,5,106
11163249414.jpg,0,1,55,41,0,97
11165746213.jpg,1,2,54,41,5,103
11169904264.jpg,0,1,55,48,2,106
11170758174.jpg,0,5,68,31,0,104
11170786154.jpg,0,3,48,55,2,108
11172371243.jpg,0,1,28,65,7,101
11175382195.jpg,2,34,60,14,2,112
11175538013.jpg,2,0,36,64,6,108
11183022383.jpg,2,40,58,5,0,105
11201160185.jpg,0,8,65,34,0,107
11208321473.jpg,0,1,46,54,3,104
11209059333.jpg,0,9,70,28,1,108
11209188974.jpg,0,1,58,44,2,105
11209221046.jpg,1,12,57,26,1,97
11209649786.jpg,0,0,58,46,0,104
11215941184.jpg,0,3,38,59,5,105
11216436636.jpg,0,2,33,72,1,108
11218793016.jpg,0,5,73,30,0,108
11219420725.jpg,0,0,38,60,3,101
11221904805.jpg,0,2,25,78,1,106
11226958966.jpg,0,1,29,81,3,114
11229777185.jpg,0,6,56,45,1,108
11232665444.jpg,15,61,30,3,0,109
11239106136.jpg,0,22,95,21,0,138
11241096796.jpg,0,2,43,61,1,107
11242015725.jpg,0,4,56,41,0,101
11245083256.jpg,1,9,52,42,5,109
11245781693.jpg,0,2,46,52,1,101
11250215644.jpg,0,0,44,64,0,108
11251138933.jpg,0,0,52,55,0,107
11252383376.jpg,0,4,37,57,2,100
11252644224.jpg,0,4,60,39,0,103
11253432804.jpg,0,6,64,29,1,100
11256485296.jpg,0,9,64,31,0,104
11256776836.jpg,0,2,47,58,3,110
11260247205.jpg,0,3,23,63,11,100
11260270773.jpg,0,0,37,61,4,102
11260385706.jpg,0,1,39,61,2,103
11262156493.jpg,0,2,27,95,5,129
11264048414.jpg,28,74,6,0,0,108
11268202995.jpg,2,49,50,7,1,109
11269474243.jpg,0,0,32,60,7,99
11269626135.jpg,0,1,16,80,6,103
11270256213.jpg,0,1,59,42,3,105
11270280904.jpg,13,57,30,5,0,105
11273127766.jpg,0,1,25,65,13,104
11273190884.jpg,0,0,30,78,2,110
11275584366.jpg,1,26,70,8,0,105
11287273183.jpg,0,1,28,75,2,106
11288559554.jpg,0,4,76,27,0,107
11291450085.jpg,0,15,67,24,0,106
11292980633.jpg,0,1,68,72,0,141
11293176185.jpg,0,8,59,36,0,103
11293946974.jpg,0,1,29,70,1,101
11294894953.jpg,0,11,71,28,1,111
11295475784.jpg,1,23,71,8,0,103
11297504114.jpg,1,14,64,20,2,101
11297570034.jpg,0,17,64,23,0,104
11301386435.jpg,0,2,28,69,11,110
11302087114.jpg,0,4,45,55,6,110
1130601148.jpg,0,0,43,59,5,107
11307198154.jpg,0,0,21,72,7,100
11310848503.jpg,0,3,40,60,4,107
11316105544.jpg,0,0,20,85,4,109
11320098306.jpg,0,22,71,15,0,108
11321228905.jpg,0,1,25,71,10,107
11324704676.jpg,1,27,69,14,0,111
11325081573.jpg,2,28,62,12,0,104
11327123904.jpg,0,0,38,63,0,101
11333447674.jpg,0,0,21,82,6,109
11333611705.jpg,0,6,69,31,1,107
11333782783.jpg,0,1,44,63,0,108
11335231214.jpg,0,4,51,49,1,105
11338371864.jpg,0,1,55,46,0,102
11339056674.jpg,0,3,57,44,1,105
11341117543.jpg,0,6,68,25,0,99
11346267905.jpg,0,2,41,55,1,99
11347140483.jpg,1,15,72,23,0,111
11353895754.jpg,0,2,35,64,5,106
11356760053.jpg,0,1,34,61,4,100
113663782.jpg,0,2,43,52,2,99
11369797883.jpg,0,0,32,62,6,100
113701797.jpg,1,28,66,10,0,105
11370407443.jpg,0,38,61,7,0,106
11372421485.jpg,0,4,60,37,1,102
11378848184.jpg,1,4,62,40,2,109
11381486584.jpg,0,21,72,16,1,110
11382799454.jpg,0,3,29,63,6,101
11389102005.jpg,0,5,69,29,0,103
11389330254.jpg,1,8,48,46,1,104
11393787465.jpg,32,64,8,1,0,105
11396447303.jpg,0,28,65,11,0,104
11399456186.jpg,0,8,57,38,1,104
11404463006.jpg,0,13,79,12,0,104
11406584295.jpg,0,10,72,23,0,105
11407368256.jpg,0,1,38,70,3,112
11407704456.jpg,0,3,36,62,2,103
11407835876.jpg,1,10,87,38,0,136
11407862453.jpg,0,0,44,63,3,110
11408091114.jpg,0,1,51,52,4,108
11408307524.jpg,0,6,55,45,1,107
11408357925.jpg,0,12,68,28,0,108
11408443745.jpg,0,5,59,36,0,100
11410644126.jpg,0,7,59,41,0,107
11410690075.jpg,0,2,47,53,2,104
11414474354.jpg,37,60,7,0,0,104
11414784395.jpg,0,2,72,79,1,154
11416241303.jpg,0,4,54,52,1,111
11419816946.jpg,0,0,34,84,3,121
11424871693.jpg,2,62,41,3,0,108
11426976205.jpg,6,63,40,2,0,111
11432746805.jpg,0,3,63,45,2,113
11433127464.jpg,0,15,80,15,0,110
11433593823.jpg,0,4,68,32,2,106
11436378704.jpg,0,0,15,80,8,103
11436390143.jpg,0,1,45,54,3,103
11436508006.jpg,0,5,72,44,0,121
11437542656.jpg,1,10,73,24,0,108
11438612393.jpg,10,58,29,1,0,98
11439591215.jpg,6,70,25,0,0,101
11446005074.jpg,0,2,26,61,19,108
11452299875.jpg,0,1,24,77,3,105
11453100924.jpg,0,0,19,81,7,107
11456199025.jpg,7,61,32,2,0,102
11459826225.jpg,0,5,66,38,0,109
11460414725.jpg,0,2,44,56,0,102
11461273913.jpg,0,2,38,62,2,104
11474376103.jpg,3,26,58,24,1,112
11476172786.jpg,0,1,36,57,7,101
11477250346.jpg,0,0,22,78,3,103
11484412296.jpg,0,4,74,30,0,108
11490304024.jpg,0,28,56,22,1,107
11495616074.jpg,1,66,38,1,0,106
11498400544.jpg,1,25,101,13,0,140
11499073263.jpg,9,78,21,1,0,109
11501016504.jpg,0,15,63,27,0,105
11501322724.jpg,0,0,28,77,5,110
11503076944.jpg,0,0,23,73,5,101
11504259765.jpg,2,40,55,6,0,103
11504601393.jpg,1,25,59,21,0,106
11506037556.jpg,0,27,91,18,0,136
11509515706.jpg,4,66,42,1,0,113
11511265293.jpg,26,65,13,0,0,104
11514342335.jpg,0,1,36,63,3,103
11515148456.jpg,0,5,63,35,3,106
11518631385.jpg,17,51,35,4,0,107
11519797605.jpg,0,1,29,71,6,107
11520125355.jpg,0,5,44,54,0,103
11521791886.jpg,0,23,64,17,0,104
11522920033.jpg,0,12,66,25,1,104
11522984926.jpg,1,58,77,3,0,139
11523093675.jpg,0,2,35,63,6,106
1152554814.jpg,4,61,35,7,0,107
11527524903.jpg,1,69,30,0,0,100
115290990.jpg,9,34,52,9,0,104
11529156723.jpg,0,0,42,63,0,105
11533404563.jpg,0,3,53,48,1,105
11535275706.jpg,0,1,28,66,6,101
11541375264.jpg,0,19,82,7,0,108
11546100824.jpg,0,2,42,51,3,98
11548683805.jpg,1,52,56,5,0,114
1154962046.jpg,45,58,2,0,0,105
11551017545.jpg,0,3,51,46,1,101
11554709013.jpg,0,0,43,55,1,99
11555549865.jpg,0,5,67,32,0,104
11559530473.jpg,0,10,64,36,0,110
1159028861.jpg,0,0,36,71,2,109
11706252.jpg,8,72,23,4,0,107
117172917.jpg,0,5,57,41,0,103
1172858625.jpg,0,2,50,55,2,109
1194894463.jpg,0,3,56,46,0,105
1195689121.jpg,7,68,30,0,0,105
1202598832.jpg,0,7,65,35,0,107
120328351.jpg,3,51,50,2,0,106
120459577.jpg,0,29,50,19,1,99
120983206.jpg,0,8,53,43,2,106
121123359.jpg,0,0,5,59,36,100
122346209.jpg,16,53,29,7,0,105
122553631.jpg,3,60,43,1,0,107
122760647.jpg,1,23,58,17,0,99
123242995.jpg,0,9,51,38,1,99
1240561841.jpg,0,0,24,78,6,108
1241002913.jpg,1,19,72,11,0,103
1249337589.jpg,0,1,39,56,5,101
1252945239.jpg,45,55,6,0,0,106
125829275.jpg,10,60,28,5,0,103
1266777709.jpg,1,5,58,42,0,106
127977276.jpg,0,0,19,62,18,99
128079586.jpg,1,15,47,39,0,102
128293583.jpg,0,4,26,63,9,102
1286765019.jpg,0,0,40,61,4,105
128715765.jpg,0,18,54,29,0,101
